iter	Passed	Remaining
290	4167	2993
291	4185	2981
292	4204	2970
293	4223	2959
294	4241	2947
295	4261	2937
296	4278	2924
297	4296	2912
298	4320	2904
299	4340	2893
300	4359	2881
301	4371	2866
302	4390	2854
303	4409	2843
304	4428	2831
305	4447	2819
306	4466	2807
307	4484	2795
308	4502	2783
309	4518	2769
310	4529	2752
311	4540	2735
312	4559	2724
313	4586	2716
314	4610	2707
315	4629	2695
316	4647	2683
317	4662	2668
318	4685	2658
319	4697	2642
320	4720	2632
321	4732	2616
322	4746	2601
323	4762	2587
324	4780	2573
325	4793	2558
326	4813	2546
327	4827	2531
328	4843	2517
329	4857	2502
330	4870	2486
331	4887	2473
332	4899	2456
333	4912	2441
334	4923	2425
335	4935	2408
336	4947	2392
337	4958	2376
338	4969	2360
339	4982	2344
340	4993	2328
341	5004	2312
342	5015	2295
343	5027	2280
344	5039	2264
345	5050	2248
346	5062	2232
347	5072	2215
348	5084	2199
349	5094	2183
350	5106	2167
351	5117	2151
352	5130	2136
353	5145	2122
354	5156	2106
355	5168	2090
356	5178	2074
357	5189	2058
358	5199	2042
359	5211	2026
360	5223	2011
361	5234	1995
362	5248	1980
363	5260	1965
364	5271	1949
365	5285	1935
366	5297	1919
367	5308	1904
368	5318	1888
369	5330	1872
370	5341	1857
371	5356	1842
372	5366	1827
373	5377	1811
374	5388	1796
375	5398	1780
376	5410	1765
377	5422	1749
378	5433	1734
379	5444	1719
380	5456	1704
381	5468	1689
382	5479	1673
383	5490	1658
384	5502	1643
385	5513	1628
386	5526	1613
387	5536	1598
388	5548	1583
389	5560	1568
390	5578	1555
391	5589	1540
392	5603	1525
393	5615	1510
394	5627	1495
395	5643	1482
396	5659	1468
397	5672	1453
398	5683	1438
399	5694	1423
400	5709	1409
401	5726	1395
402	5740	1381
403	5751	1366
404	5763	1351
405	5777	1337
406	5789	1322
